lot_id,tool_id,chamber_temp,chamber_pressure,etch_time,film_thickness,defect_count,final_yield,risk_label
LOT_058,TOOL_D,85.22,2.95,60.47,102.24,13,84.46,1
LOT_059,TOOL_C,82.84,2.41,54.03,98.1,5,89.64,0
LOT_060,TOOL_C,87.87,2.15,56.15,99.89,5,91.46,0
LOT_061,TOOL_D,86.85,2.4,53.65,96.93,3,92.6,0
LOT_062,TOOL_B,75.73,2.18,60.34,89.5,19,80.0,1
LOT_063,TOOL_C,83.44,2.54,53.29,96.89,8,89.59,0
LOT_064,TOOL_C,81.37,2.15,66.94,98.66,24,75.21,1
LOT_065,TOOL_C,88.27,2.45,60.17,101.39,3,95.57,0
LOT_066,TOOL_D,81.38,2.01,55.62,102.06,8,92.94,0
LOT_067,TOOL_B,79.62,2.84,56.96,97.73,18,80.84,1
LOT_068,TOOL_A,84.36,2.4,58.33,102.6,7,90.47,0
LOT_069,TOOL_D,85.69,2.26,58.64,99.41,5,94.56,0
LOT_070,TOOL_D,91.23,2.35,55.52,100.87,12,86.99,0
LOT_071,TOOL_D,80.18,1.78,63.53,90.27,14,82.93,1
LOT_072,TOOL_A,82.99,2.62,54.8,109.6,20,79.76,1
LOT_073,TOOL_C,90.33,2.12,57.31,96.47,8,92.91,0
LOT_074,TOOL_D,90.28,2.27,65.09,103.71,21,81.77,1
LOT_075,TOOL_B,76.5,2.02,57.7,96.16,11,88.7,0
LOT_076,TOOL_C,85.16,2.37,59.68,103.57,5,91.89,0
LOT_077,TOOL_D,87.0,2.13,56.85,98.19,15,82.92,1
LOT_078,TOOL_D,85.94,2.08,55.16,97.48,10,86.61,0
LOT_079,TOOL_B,83.5,2.09,64.59,101.85,11,85.48,0
LOT_080,TOOL_B,80.07,2.1,62.35,85.28,28,72.33,1
LOT_081,TOOL_A,86.04,2.56,66.89,95.67,9,93.06,0
LOT_082,TOOL_D,87.39,2.56,49.34,93.42,13,84.96,1
LOT_083,TOOL_C,89.52,2.04,60.84,116.13,21,81.72,1
LOT_084,TOOL_D,90.55,2.1,56.54,103.06,29,73.69,1
LOT_085,TOOL_B,80.45,2.48,62.69,105.39,11,84.92,1
LOT_086,TOOL_A,84.79,2.52,57.39,95.83,12,87.07,0
LOT_087,TOOL_B,81.13,2.16,66.13,101.89,13,86.36,0
LOT_088,TOOL_B,89.67,2.55,58.97,95.92,13,86.24,0
LOT_089,TOOL_B,83.62,2.2,59.72,97.36,5,91.19,0
LOT_090,TOOL_B,86.35,2.29,56.36,90.27,14,87.41,0
LOT_091,TOOL_B,88.73,1.91,60.21,96.8,14,86.41,0
LOT_092,TOOL_B,84.23,2.09,59.74,116.73,19,80.44,1
LOT_093,TOOL_B,88.6,2.15,60.11,99.75,6,90.26,0
LOT_094,TOOL_C,87.33,2.15,62.96,107.02,15,85.45,0
LOT_095,TOOL_A,87.05,2.05,71.35,97.58,15,83.8,1
LOT_096,TOOL_D,82.4,2.3,60.24,92.27,12,87.47,0
LOT_097,TOOL_B,86.52,1.84,57.91,107.93,14,85.65,0
LOT_098,TOOL_C,75.42,2.1,60.79,93.09,15,85.17,0
LOT_099,TOOL_A,82.52,2.42,63.1,104.49,6,93.13,0
LOT_100,TOOL_B,79.29,2.26,61.45,97.53,11,88.08,0
LOT_101,TOOL_A,79.59,2.47,63.5,96.34,11,85.69,0
LOT_102,TOOL_D,83.94,1.97,55.91,96.31,5,97.76,0
LOT_103,TOOL_A,88.7,1.96,61.68,103.89,4,92.1,0
LOT_104,TOOL_D,76.99,2.07,60.67,100.11,15,84.19,1
LOT_105,TOOL_C,89.37,2.14,57.46,98.95,4,96.71,0
LOT_106,TOOL_A,83.56,1.73,65.3,96.75,11,86.83,0
LOT_107,TOOL_C,88.22,1.62,58.12,100.15,13,83.43,1
LOT_108,TOOL_D,89.06,2.41,54.62,96.61,4,95.1,0
LOT_109,TOOL_D,88.33,2.11,54.31,107.38,15,83.05,1
LOT_110,TOOL_D,89.87,2.58,54.87,94.19,15,84.97,1
LOT_111,TOOL_B,85.34,2.14,56.95,107.33,11,87.04,0
LOT_112,TOOL_A,85.62,2.47,65.28,104.01,12,87.76,0
LOT_113,TOOL_C,87.27,2.12,69.71,106.42,16,82.26,1
LOT_114,TOOL_B,86.48,2.69,57.86,96.82,21,77.31,1
LOT_115,TOOL_D,85.87,2.42,56.97,100.9,4,93.24,0
LOT_116,TOOL_C,86.7,2.36,60.02,104.77,8,93.8,0
LOT_117,TOOL_A,82.94,1.91,56.84,102.31,8,85.75,0
LOT_118,TOOL_C,87.94,2.16,53.89,104.25,6,96.61,0
LOT_119,TOOL_D,86.16,1.93,58.5,89.92,20,81.36,1
LOT_120,TOOL_C,88.02,2.5,65.18,97.4,18,79.67,1
LOT_121,TOOL_B,86.95,2.19,54.05,103.32,11,87.94,0
LOT_122,TOOL_A,86.9,2.39,65.15,100.2,22,80.68,1
LOT_123,TOOL_D,89.55,1.96,59.73,100.68,12,88.56,0
LOT_124,TOOL_C,86.56,2.0,60.53,101.88,13,83.56,1
LOT_125,TOOL_D,81.3,1.93,57.25,101.26,7,93.09,0
LOT_126,TOOL_C,88.24,2.23,56.54,111.24,18,82.43,1
LOT_127,TOOL_D,78.15,2.52,63.9,100.42,9,90.81,0
LOT_128,TOOL_C,91.5,2.26,61.96,102.34,20,79.28,1
LOT_129,TOOL_A,84.09,2.57,57.35,101.37,10,86.47,0
LOT_130,TOOL_B,85.12,2.28,47.74,96.54,10,86.59,0
LOT_131,TOOL_C,81.32,1.98,64.57,101.6,11,85.62,0
LOT_132,TOOL_C,84.83,2.45,59.85,103.87,12,89.87,0
LOT_133,TOOL_B,92.75,2.77,59.78,96.69,23,80.36,1
LOT_134,TOOL_B,83.68,2.47,65.54,95.27,15,82.78,1
LOT_135,TOOL_C,90.14,1.75,54.52,110.2,20,81.93,1
LOT_136,TOOL_A,86.51,2.12,50.98,94.58,15,79.35,1
LOT_137,TOOL_B,84.96,2.48,66.18,92.38,21,77.58,1
LOT_138,TOOL_D,82.29,2.25,63.36,95.82,5,93.92,0
LOT_139,TOOL_B,87.64,2.25,60.29,107.54,9,85.58,0
LOT_140,TOOL_D,85.23,2.16,62.17,102.41,13,84.12,1
LOT_141,TOOL_A,88.52,2.0,63.38,106.76,5,91.9,0
LOT_142,TOOL_A,82.77,2.05,58.94,103.84,5,92.5,0
LOT_143,TOOL_B,77.47,2.2,54.18,101.37,6,91.27,0
LOT_144,TOOL_B,86.73,2.73,58.52,105.42,28,72.55,1
LOT_145,TOOL_C,87.79,2.03,62.59,94.84,12,87.78,0
LOT_146,TOOL_B,86.14,2.44,59.67,115.5,12,87.38,0
LOT_147,TOOL_B,84.12,2.1,59.4,92.97,5,91.66,0
LOT_148,TOOL_D,76.57,1.84,61.36,104.58,5,94.79,0
LOT_149,TOOL_B,83.65,1.88,64.36,101.14,5,93.33,0
LOT_150,TOOL_C,74.75,2.28,58.12,97.5,5,93.57,0
LOT_151,TOOL_C,80.73,1.96,62.23,94.99,8,89.06,0
LOT_152,TOOL_D,81.19,2.32,61.61,98.01,13,85.32,0
LOT_153,TOOL_A,88.51,1.9,65.18,90.18,21,78.47,1
LOT_154,TOOL_D,82.55,2.4,61.34,102.37,15,85.26,0
LOT_155,TOOL_C,80.06,2.24,63.94,100.5,11,85.97,0
LOT_156,TOOL_D,79.33,2.47,55.02,103.98,9,89.03,0
LOT_157,TOOL_D,89.06,2.01,62.97,91.96,4,89.31,0
LOT_158,TOOL_A,76.73,2.04,70.37,95.93,13,83.1,1
LOT_159,TOOL_B,84.46,1.87,58.23,111.8,12,87.53,0
LOT_160,TOOL_C,80.29,2.46,57.07,92.26,7,92.96,0
LOT_161,TOOL_C,84.65,2.34,58.93,81.15,14,88.46,0
LOT_162,TOOL_A,81.82,2.34,58.29,102.89,10,88.34,0
LOT_163,TOOL_B,83.88,2.3,62.87,94.75,15,80.21,1
LOT_164,TOOL_A,81.97,2.2,66.58,94.48,11,84.79,1
LOT_165,TOOL_D,86.33,1.77,55.31,100.88,11,88.59,0
LOT_166,TOOL_B,88.76,2.17,60.7,99.75,15,85.73,0
LOT_167,TOOL_D,84.69,2.2,59.86,96.76,10,85.71,0
LOT_168,TOOL_C,80.46,2.35,62.49,91.3,7,91.31,0
LOT_169,TOOL_A,79.98,2.11,62.28,104.65,3,96.68,0
LOT_170,TOOL_A,79.24,2.18,63.21,102.64,3,90.1,0
LOT_171,TOOL_A,89.12,2.28,61.04,98.31,10,84.07,1
LOT_172,TOOL_D,83.32,2.81,54.49,114.87,32,72.05,1
LOT_173,TOOL_B,78.73,1.97,57.22,107.85,13,86.35,0
LOT_174,TOOL_A,81.49,2.17,60.83,97.75,10,85.95,0
LOT_175,TOOL_A,87.36,1.96,61.03,101.35,7,89.12,0
LOT_176,TOOL_A,86.7,1.93,58.31,95.04,15,83.66,1
LOT_177,TOOL_B,78.88,2.26,57.76,89.45,14,83.73,1
LOT_178,TOOL_B,81.75,1.93,52.74,97.93,15,81.28,1
LOT_179,TOOL_D,81.86,2.16,58.5,103.78,3,94.97,0
LOT_180,TOOL_B,88.45,2.49,63.56,101.09,12,86.35,0
LOT_181,TOOL_B,80.14,1.77,55.0,92.85,7,87.56,0
LOT_182,TOOL_D,82.06,2.62,56.59,98.51,23,79.63,1
LOT_183,TOOL_B,86.44,2.17,66.26,93.12,20,78.07,1
LOT_184,TOOL_A,84.31,2.38,57.58,111.16,26,77.66,1
LOT_185,TOOL_A,84.11,1.94,62.76,96.43,7,93.05,0
LOT_186,TOOL_B,88.05,2.21,62.37,97.73,9,88.13,0
LOT_187,TOOL_B,98.92,2.37,63.82,107.19,27,74.69,1
LOT_188,TOOL_D,80.1,2.09,58.06,105.35,6,88.16,0
LOT_189,TOOL_D,84.6,2.61,58.93,107.29,13,81.15,1
LOT_190,TOOL_A,78.45,1.98,66.04,93.75,11,89.93,0
LOT_191,TOOL_A,78.59,1.83,59.19,99.48,13,84.4,1
LOT_192,TOOL_D,86.09,2.12,61.91,95.91,4,93.19,0
LOT_193,TOOL_D,88.37,1.87,63.59,104.58,12,87.69,0
LOT_194,TOOL_C,88.0,2.25,57.48,92.94,5,95.67,0
LOT_195,TOOL_D,90.68,2.15,58.99,107.62,10,90.72,0
LOT_196,TOOL_A,88.47,2.08,60.5,102.31,9,85.95,0
LOT_197,TOOL_B,86.03,2.15,61.74,93.42,5,94.95,0
LOT_198,TOOL_D,80.39,2.23,59.5,106.41,8,87.81,0
LOT_199,TOOL_A,82.45,2.16,68.03,98.74,19,84.18,1
LOT_200,TOOL_C,85.58,2.64,59.91,86.39,25,78.06,1
